protocol,horizon,sim_seed,seed,val_acc,full_acc,val_majority,full_majority,overlap_fraction,n_train,n_val
chronological,5,0,0,0.3979591836734694,0.5277777777777778,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,1,0.4887755102040816,0.565359477124183,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,2,0.5387755102040817,0.565359477124183,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,3,0.5316326530612245,0.5612745098039216,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,4,0.3520408163265306,0.4571078431372549,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,5,0.536734693877551,0.5647467320261438,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,6,0.5153061224489796,0.588031045751634,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,7,0.503061224489796,0.5996732026143791,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,8,0.5214285714285715,0.5580065359477124,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,9,0.5346938775510204,0.556781045751634,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,10,0.5244897959183673,0.579452614379085,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,11,0.5020408163265306,0.5737336601307189,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,12,0.5061224489795918,0.5674019607843137,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,13,0.503061224489796,0.5776143790849673,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,14,0.5265306122448979,0.5917075163398693,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,15,0.5510204081632653,0.5680147058823529,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,16,0.47653061224489796,0.5845588235294118,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,17,0.5122448979591837,0.5749591503267973,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,18,0.5265306122448979,0.5543300653594772,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,0,19,0.46224489795918366,0.5951797385620915,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,1,0,0.5061224489795918,0.5747549019607843,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,1,0.5357142857142857,0.5473856209150327,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,2,0.5346938775510204,0.5459558823529411,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,3,0.4142857142857143,0.5522875816993464,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,4,0.5275510204081633,0.5535130718954249,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,5,0.49489795918367346,0.5600490196078431,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,6,0.4959183673469388,0.5543300653594772,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,7,0.42959183673469387,0.5279820261437909,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,8,0.5091836734693878,0.5727124183006536,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,9,0.5326530612244897,0.5475898692810458,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,10,0.5265306122448979,0.5555555555555556,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,11,0.4897959183673469,0.5714869281045751,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,12,0.4969387755102041,0.5655637254901961,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,13,0.4030612244897959,0.5042892156862745,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,14,0.49081632653061225,0.5855800653594772,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,15,0.49183673469387756,0.5712826797385621,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,16,0.48367346938775513,0.5704656862745098,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,17,0.2510204081632653,0.318218954248366,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,18,0.5122448979591837,0.5696486928104575,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,1,19,0.5020408163265306,0.5578022875816994,0.5336734693877551,0.5449346405228758,0.10612244897959183,3916,980
chronological,5,2,0,0.536734693877551,0.5639297385620915,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,1,0.5204081632653061,0.5870098039215687,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,2,0.5428571428571428,0.5810866013071896,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,3,0.4714285714285714,0.5870098039215687,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,4,0.5622448979591836,0.5819035947712419,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,5,0.4959183673469388,0.5723039215686274,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,6,0.5612244897959183,0.5816993464052288,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,7,0.5459183673469388,0.5765931372549019,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,8,0.5346938775510204,0.5676062091503268,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,9,0.5204081632653061,0.5884395424836601,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,10,0.4775510204081633,0.5686274509803921,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,11,0.5346938775510204,0.5743464052287581,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,12,0.4663265306122449,0.5700571895424836,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,13,0.5540816326530612,0.5765931372549019,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,14,0.5479591836734694,0.5861928104575164,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
chronological,5,2,15,0.523469387755102,0.5806781045751634,0.5887755102040816,0.551062091503268,0.10612244897959183,3916,980
