protocol,horizon,scaling,sim_seed,seed,val_acc,full_acc,val_majority,full_majority,overlap_fraction,n_train,n_val
chronological,5,global_max,0,0,0.3979591836734694,0.5277777777777778,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,0,0.46224489795918366,0.5929330065359477,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,1,0.4887755102040816,0.565359477124183,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,1,0.536734693877551,0.5743464052287581,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,2,0.5387755102040817,0.565359477124183,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,2,0.4775510204081633,0.6076388888888888,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,3,0.5316326530612245,0.5612745098039216,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,3,0.48775510204081635,0.6109068627450981,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,4,0.3520408163265306,0.4571078431372549,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,4,0.5214285714285715,0.6213235294117647,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,5,0.536734693877551,0.5647467320261438,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,5,0.5214285714285715,0.6047794117647058,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,6,0.5153061224489796,0.588031045751634,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,6,0.42653061224489797,0.6031454248366013,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,7,0.503061224489796,0.5996732026143791,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,7,0.49183673469387756,0.6160130718954249,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,8,0.5214285714285715,0.5580065359477124,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,8,0.5306122448979592,0.5835375816993464,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,global_max,0,9,0.5346938775510204,0.556781045751634,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,5,train_only,0,9,0.413265306122449,0.5855800653594772,0.55,0.5465686274509803,0.10612244897959183,3916,980
chronological,10,global_max,0,0,0.4024514811031665,0.6195052136577387,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,0,0.3707865168539326,0.6632590472296054,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,1,0.34627170582226763,0.6469024739317113,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,1,0.3442288049029622,0.6358617869556328,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,2,0.41062308478038817,0.6403598446125537,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,2,0.3830439223697651,0.6640768758945002,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,3,0.34933605720122574,0.6446534451032508,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,3,0.36772216547497444,0.6941320793293805,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,4,0.3125638406537283,0.4522592516867716,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,4,0.3534218590398366,0.6595788182375792,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,5,0.3442288049029622,0.5506031486403599,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,5,0.34627170582226763,0.6585565324064608,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,6,0.4065372829417773,0.6534451032508689,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,6,0.3146067415730337,0.6240032713146596,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,7,0.35240040858018384,0.475362911470047,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,7,0.34627170582226763,0.6726640768758945,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,8,0.35137895812053116,0.5571457779595175,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,8,0.36670071501532175,0.6246166428133306,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,global_max,0,9,0.3748723186925434,0.5587814352893069,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,10,train_only,0,9,0.29213483146067415,0.5534655489674913,0.4290091930541369,0.40298507462686567,0.11133810010214505,3912,979
chronological,20,global_max,0,0,0.2599795291709314,0.6650276582667486,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,0,0.3828045035823951,0.6603155091169842,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,1,0.3132036847492323,0.5994673222700266,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,1,0.2712384851586489,0.6138086457693096,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,2,0.3254861821903787,0.6732227002663389,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,2,0.3428863868986694,0.7062077443146896,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,3,0.353121801432958,0.6588813767670559,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,3,0.33265097236438074,0.652939971317353,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,4,0.32139201637666326,0.6429010448678549,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,4,0.27533265097236437,0.6988322065150584,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,5,0.35209825997952915,0.6906371645154682,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,5,0.3193449334698055,0.7068223724646588,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,6,0.31218014329580346,0.687359147715632,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,6,0.34390992835209827,0.7273099774636345,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,7,0.34698055271238487,0.6574472444171277,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,7,0.3694984646878199,0.7141979102642901,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,8,0.428863868986694,0.5683261626715836,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,8,0.3132036847492323,0.652120467117394,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,global_max,0,9,0.39815762538382804,0.7139930342143004,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
chronological,20,train_only,0,9,0.4104401228249744,0.7396025404630199,0.4483111566018424,0.38270846138086456,0.1218014329580348,3904,977
purged_embargoed,5,global_max,0,0,0.5261538461538462,0.5706699346405228,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,0,0.5415384615384615,0.571078431372549,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,1,0.5107692307692308,0.5606617647058824,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,1,0.49435897435897436,0.5686274509803921,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,2,0.4707692307692308,0.5555555555555556,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,2,0.4594871794871795,0.5718954248366013,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,3,0.5005128205128205,0.5622957516339869,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,3,0.5076923076923077,0.5980392156862745,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,4,0.52,0.5639297385620915,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,4,0.4666666666666667,0.6033496732026143,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,5,0.521025641025641,0.579248366013072,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,5,0.5046153846153846,0.5933415032679739,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,6,0.5158974358974359,0.6011029411764706,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,6,0.49846153846153846,0.6015114379084967,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,7,0.5148717948717949,0.585171568627451,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,7,0.4676923076923077,0.6274509803921569,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,8,0.5456410256410257,0.5584150326797386,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,8,0.48205128205128206,0.5816993464052288,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,global_max,0,9,0.517948717948718,0.5816993464052288,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,5,train_only,0,9,0.46564102564102566,0.6013071895424836,0.5476923076923077,0.5465686274509803,0.0,3812,975
purged_embargoed,10,global_max,0,0,0.3240454076367389,0.5996728685340421,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,train_only,0,0,0.3942208462332301,0.5514209773052545,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,global_max,0,1,0.2579979360165119,0.4739317113064813,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,train_only,0,1,0.36945304437564497,0.6274790431404621,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,global_max,0,2,0.36945304437564497,0.6233898998159886,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,train_only,0,2,0.37770897832817335,0.6542629319157637,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,global_max,0,3,0.40350877192982454,0.5471273768145574,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,train_only,0,3,0.37564499484004127,0.6751175628705787,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,global_max,0,4,0.347781217750258,0.562461664281333,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,train_only,0,4,0.38699690402476783,0.6178695563279493,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,global_max,0,5,0.43343653250773995,0.5822940094050296,0.4262125902992776,0.40298507462686567,0.0,3803,969
purged_embargoed,10,train_only,0,5,0.32714138286893707,0.6383152729503169,0.4262125902992776,0.40298507462686567,0.0,3803,969
