sweep,param,value,horizon,ceiling,oracle,error,majority,n_windows
paths,sim_seed,0,5,0.689601994186341,0.6914285714285715,0.0018265772422304538,0.5465686274509803,4896
paths,sim_seed,1,5,0.689601994186341,0.691938775510204,0.0023367813238629465,0.5449346405228758,4896
paths,sim_seed,2,5,0.689601994186341,0.6859183673469388,-0.0036836268394022653,0.551062091503268,4896
paths,sim_seed,3,5,0.689601994186341,0.6789795918367347,-0.010622402349606319,0.5343137254901961,4896
paths,sim_seed,4,5,0.689601994186341,0.687142857142857,-0.0024591370434839943,0.551062091503268,4896
paths,sim_seed,5,5,0.689601994186341,0.6956122448979591,0.0060102507116180925,0.5277777777777778,4896
paths,sim_seed,6,5,0.689601994186341,0.6876530612244898,-0.0019489329618512796,0.5486111111111112,4896
paths,sim_seed,7,5,0.689601994186341,0.6831632653061226,-0.006438728880218458,0.5290032679738562,4896
paths,sim_seed,8,5,0.689601994186341,0.6866326530612245,-0.002969341125116598,0.5526960784313726,4896
paths,sim_seed,9,5,0.689601994186341,0.6866326530612245,-0.002969341125116598,0.5404411764705882,4896
paths,sim_seed,10,5,0.689601994186341,0.7040816326530612,0.01447963846672018,0.5659722222222222,4896
paths,sim_seed,11,5,0.689601994186341,0.7047959183673469,0.015193924181005847,0.525531045751634,4896
paths,sim_seed,12,5,0.689601994186341,0.6837755102040817,-0.005826483982259378,0.5322712418300654,4896
paths,sim_seed,13,5,0.689601994186341,0.6941836734693878,0.004581679283046758,0.5433006535947712,4896
paths,sim_seed,14,5,0.689601994186341,0.6924489795918367,0.002846985405495661,0.5322712418300654,4896
paths,sim_seed,15,5,0.689601994186341,0.6916326530612245,0.0020306588748834065,0.5459558823529411,4896
paths,sim_seed,16,5,0.689601994186341,0.6856122448979592,-0.003989749288381805,0.5412581699346405,4896
paths,sim_seed,17,5,0.689601994186341,0.708469387755102,0.018867393568760993,0.5465686274509803,4896
paths,sim_seed,18,5,0.689601994186341,0.6900000000000001,0.0003980058136590081,0.5326797385620915,4896
paths,sim_seed,19,5,0.689601994186341,0.6841836734693877,-0.005418320716953362,0.5588235294117647,4896
paths,sim_seed,0,10,0.7478695885761109,0.750561797752809,0.0026922091766981016,0.40298507462686567,4891
paths,sim_seed,1,10,0.7478695885761109,0.7396322778345251,-0.008237310741585735,0.3931711306481292,4891
paths,sim_seed,2,10,0.7478695885761109,0.7270684371807967,-0.020801151395314132,0.4003271314659579,4891
paths,sim_seed,3,10,0.7478695885761109,0.7497446373850868,0.001875048808975932,0.3937845021468002,4891
paths,sim_seed,4,10,0.7478695885761109,0.7500510725229825,0.0021814839468716762,0.3943978736454713,4891
paths,sim_seed,5,10,0.7478695885761109,0.752400408580184,0.004530820004073122,0.38519730116540585,4891
paths,sim_seed,6,10,0.7478695885761109,0.7478038815117467,-6.570706436415108e-05,0.4183193620936414,4891
paths,sim_seed,7,10,0.7478695885761109,0.7596527068437181,0.011783118267607251,0.3804947863422613,4891
paths,sim_seed,8,10,0.7478695885761109,0.749438202247191,0.001568613671080188,0.40830096094868124,4891
paths,sim_seed,9,10,0.7478695885761109,0.7491317671092952,0.0012621785331843327,0.4038029032917604,4891
paths,sim_seed,10,10,0.7478695885761109,0.7654749744637386,0.017605385887627722,0.40584747495399714,4891
paths,sim_seed,11,10,0.7478695885761109,0.7622063329928498,0.014336744416738934,0.39276221631568187,4891
paths,sim_seed,12,10,0.7478695885761109,0.7514811031664965,0.003611514590385667,0.39235330198323454,4891
paths,sim_seed,13,10,0.7478695885761109,0.7578140960163431,0.009944507440232231,0.40911878961357595,4891
paths,sim_seed,14,10,0.7478695885761109,0.7593462717058224,0.011476683129711507,0.3925577591494582,4891
paths,sim_seed,15,10,0.7478695885761109,0.7587334014300307,0.010863812853919796,0.4007360457984052,4891
paths,sim_seed,16,10,0.7478695885761109,0.7455566905005109,-0.0023128980755999784,0.40993661827847067,4891
paths,sim_seed,17,10,0.7478695885761109,0.7620020429009193,0.014132454324808474,0.3870374156614189,4891
paths,sim_seed,18,10,0.7478695885761109,0.744535240040858,-0.003334348535252829,0.3909221018196688,4891
paths,sim_seed,19,10,0.7478695885761109,0.74902962206333,0.0011600334872191587,0.417297076262523,4891
paths,sim_seed,0,20,0.8093078919469551,0.8200614124872058,0.010753520540250694,0.38270846138086456,4881
paths,sim_seed,1,20,0.8093078919469551,0.8183213920163765,0.009013500069421476,0.38414259373079285,4881
paths,sim_seed,2,20,0.8093078919469551,0.817093142272262,0.007785250325306969,0.3652939971317353,4881
paths,sim_seed,3,20,0.8093078919469551,0.7994882292732857,-0.009819662673669405,0.3521819299323909,4881
paths,sim_seed,4,20,0.8093078919469551,0.8186284544524053,0.009320562505450214,0.3855767260807212,4881
paths,sim_seed,5,20,0.8093078919469551,0.8251791197543501,0.015871227807395027,0.41938127432903094,4881
paths,sim_seed,6,20,0.8093078919469551,0.7967246673490276,-0.01258322459792749,0.36365498873181723,4881
paths,sim_seed,7,20,0.8093078919469551,0.8149437052200614,0.00563581327310636,0.389059618930547,4881
paths,sim_seed,8,20,0.8093078919469551,0.7931422722620265,-0.016165619684928578,0.3564843269821758,4881
paths,sim_seed,9,20,0.8093078919469551,0.8021494370522007,-0.007158454894754418,0.37021102233148945,4881
paths,sim_seed,10,20,0.8093078919469551,0.8113613101330603,0.0020534181861052714,0.3931571399303421,4881
paths,sim_seed,11,20,0.8093078919469551,0.8234390992835209,0.01413120733656581,0.36508912108174557,4881
paths,sim_seed,12,20,0.8093078919469551,0.808188331627431,-0.0011195603195240933,0.3732841630813358,4881
paths,sim_seed,13,20,0.8093078919469551,0.8100307062436028,0.000722814296647778,0.4029911903298504,4881
paths,sim_seed,14,20,0.8093078919469551,0.8129989764585466,0.0036910845115915025,0.3788158164310592,4881
