sim_seed,protocol,horizon,split_seed,n_train,n_val,val_majority,oracle_twin_acc,knn1_acc,analytic_ceiling
0,random_split,5,0,3916,980,0.5377551020408163,0.6979591836734694,0.39387755102040817,0.689601994186341
0,random_split,5,1,3916,980,0.5561224489795918,0.7122448979591837,0.4142857142857143,0.689601994186341
0,random_split,5,2,3916,980,0.5520408163265306,0.7081632653061225,0.38877551020408163,0.689601994186341
0,random_split,5,3,3916,980,0.5469387755102041,0.6724489795918367,0.4010204081632653,0.689601994186341
0,random_split,5,4,3916,980,0.5561224489795918,0.6663265306122449,0.42346938775510207,0.689601994186341
0,random_split,5,5,3916,980,0.5704081632653061,0.686734693877551,0.4153061224489796,0.689601994186341
0,random_split,5,6,3916,980,0.5510204081632653,0.6959183673469388,0.39081632653061227,0.689601994186341
0,random_split,5,7,3916,980,0.5244897959183673,0.6887755102040817,0.4142857142857143,0.689601994186341
0,random_split,5,8,3916,980,0.5489795918367347,0.6979591836734694,0.4,0.689601994186341
0,random_split,5,9,3916,980,0.5459183673469388,0.6877551020408164,0.40408163265306124,0.689601994186341
0,random_split,5,10,3916,980,0.5459183673469388,0.7030612244897959,0.3979591836734694,0.689601994186341
0,random_split,5,11,3916,980,0.5642857142857143,0.7,0.42653061224489797,0.689601994186341
0,random_split,5,12,3916,980,0.5755102040816327,0.6846938775510204,0.41122448979591836,0.689601994186341
0,random_split,5,13,3916,980,0.55,0.7112244897959183,0.4204081632653061,0.689601994186341
0,random_split,5,14,3916,980,0.5255102040816326,0.6959183673469388,0.4020408163265306,0.689601994186341
0,random_split,5,15,3916,980,0.5428571428571428,0.6979591836734694,0.3979591836734694,0.689601994186341
0,random_split,5,16,3916,980,0.5448979591836735,0.6806122448979591,0.3693877551020408,0.689601994186341
0,random_split,5,17,3916,980,0.5173469387755102,0.6826530612244898,0.40408163265306124,0.689601994186341
0,random_split,5,18,3916,980,0.5377551020408163,0.6908163265306122,0.4051020408163265,0.689601994186341
