protocol,horizon,seed,val_acc,full_acc,val_majority,full_majority,overlap_fraction,n_train,n_val
chronological,5,0,0.5561224489795918,0.5526960784313726,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,1,0.4357142857142857,0.5686274509803921,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,2,0.4816326530612245,0.5751633986928104,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,3,0.5448979591836735,0.5557598039215687,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,4,0.5448979591836735,0.5594362745098039,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,5,0.5571428571428572,0.565359477124183,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,6,0.45714285714285713,0.5475898692810458,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,7,0.4520408163265306,0.5676062091503268,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,8,0.5010204081632653,0.5651552287581699,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,9,0.4316326530612245,0.5467728758169934,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,10,0.5295918367346939,0.5386029411764706,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,11,0.5448979591836735,0.5812908496732027,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,12,0.5469387755102041,0.5569852941176471,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,13,0.4520408163265306,0.5565767973856209,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,14,0.5040816326530613,0.5784313725490197,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,15,0.47959183673469385,0.5637254901960784,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,16,0.5265306122448979,0.5845588235294118,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,17,0.5153061224489796,0.5655637254901961,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,18,0.4989795918367347,0.5551470588235294,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,5,19,0.49795918367346936,0.5337009803921569,0.5744897959183674,0.5339052287581699,0.10612244897959183,3916,980
chronological,10,0,0.3105209397344229,0.5900633817215294,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,1,0.3391215526046987,0.6207319566550807,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,2,0.32175689479060265,0.5935391535473319,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,3,0.33707865168539325,0.5702310365978328,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,4,0.313585291113381,0.48108771212430995,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,5,0.3003064351378958,0.6460846452668166,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,6,0.32073544433094997,0.5696176650991617,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,7,0.3585291113381001,0.6123492128399101,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,8,0.313585291113381,0.5790226947454509,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,9,0.35240040858018384,0.6109180126763443,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,10,0.296220633299285,0.562461664281333,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,11,0.32482124616956076,0.5843385810672664,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,12,0.3615934627170582,0.5432426906563075,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,13,0.3258426966292135,0.6207319566550807,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,14,0.34831460674157305,0.611122469842568,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,15,0.3534218590398366,0.6240032713146596,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,16,0.3432073544433095,0.6280924146391331,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,17,0.2839632277834525,0.4729094254753629,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,18,0.30337078651685395,0.5330198323451237,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,10,19,0.2676200204290092,0.4181149049274177,0.4484167517875383,0.388264158658761,0.11133810010214505,3912,979
chronological,20,0,0.3101330603889457,0.6009014546199549,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,1,0.38382804503582396,0.7062077443146896,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,2,0.3602865916069601,0.6976029502151199,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,3,0.3029682702149437,0.4544150788772792,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,4,0.35209825997952915,0.6730178242163491,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,5,0.3705220061412487,0.6578569965171072,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,6,0.2538382804503582,0.6381888957180906,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,7,0.2835209825997953,0.6027453390698627,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,8,0.33469805527123847,0.5574677320221266,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,9,0.34186284544524054,0.6976029502151199,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,10,0.330603889457523,0.5888137676705593,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,11,0.3991811668372569,0.620159803318992,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,12,0.2978505629477994,0.6562179881171891,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,13,0.30501535312180145,0.6195451751690227,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,14,0.34493346980552714,0.6623642696168818,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,15,0.26202661207778916,0.5841016185207949,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,16,0.2743091095189355,0.6721983200163901,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,17,0.3070624360286592,0.610940381069453,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,18,0.3797338792221085,0.6711739397664414,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
chronological,20,19,0.33265097236438074,0.6894079082155296,0.4022517911975435,0.40053267772997336,0.1218014329580348,3904,977
purged_embargoed,5,0,0.4758974358974359,0.5706699346405228,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,1,0.5230769230769231,0.5996732026143791,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,2,0.47384615384615386,0.536968954248366,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,3,0.5323076923076923,0.5569852941176471,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,4,0.47384615384615386,0.5565767973856209,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,5,0.4605128205128205,0.5177696078431373,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,6,0.5282051282051282,0.5798611111111112,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,7,0.4728205128205128,0.5761846405228758,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,8,0.4553846153846154,0.4987745098039216,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,9,0.47384615384615386,0.5733251633986928,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,10,0.48205128205128206,0.5706699346405228,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,11,0.49435897435897436,0.5602532679738562,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,12,0.4502564102564103,0.5275735294117647,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,13,0.48205128205128206,0.5569852941176471,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,14,0.49128205128205127,0.5735294117647058,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,15,0.48923076923076925,0.5757761437908496,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,16,0.4676923076923077,0.559640522875817,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,17,0.4841025641025641,0.5651552287581699,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,18,0.5323076923076923,0.5651552287581699,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,5,19,0.4635897435897436,0.5496323529411765,0.5753846153846154,0.5339052287581699,0.0,3812,975
purged_embargoed,10,0,0.3323013415892673,0.616847270496831,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,1,0.3570691434468524,0.5925168677162135,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,2,0.2961816305469556,0.5931302392148845,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,3,0.32610939112487103,0.5561234921283991,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,4,0.34262125902992774,0.5898589245553056,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,5,0.2672858617131063,0.47454508280515234,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,6,0.35810113519091846,0.6101001840114496,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,7,0.3302373581011352,0.560008178286649,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,8,0.36429308565531476,0.6469024739317113,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,9,0.3384932920536636,0.6043753833571867,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,10,0.31475748194014447,0.604784297689634,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,11,0.31166150670794635,0.5595992639542016,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,12,0.3735810113519092,0.6260478429768963,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,13,0.31682146542827655,0.5154365160498875,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,14,0.3446852425180599,0.6207319566550807,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,15,0.3364293085655315,0.5434471478225312,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,16,0.3333333333333333,0.576364751584543,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,17,0.29927760577915374,0.553670006133715,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,18,0.3508771929824561,0.6305459006338172,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,10,19,0.3384932920536636,0.5847474953997137,0.45098039215686275,0.388264158658761,0.0,3803,969
purged_embargoed,20,0,0.34796238244514105,0.6562179881171891,0.4012539184952978,0.40053267772997336,0.0,3785,957
